survey.dat auto written
101
BS-NoRu-Q1(BTr)
1994 2020
1 1 0.133 0.133
3 10
1  	314.533  	436.251  	46.176  	3.54  	0.163  	0.13  	0.2  	0.651
1  	54.857  	167.104  	343.38  	29.623  	1.441  	0.025  	0.043  	0.404
1  	55.843  	31.334  	150.768  	238.108  	16.131  	1.15  	NA  	0.069
1  	79.632  	39.855  	18.255  	61.566  	88.411  	3.277  	0.082  	0.043
1  	21.681  	36.749  	11.844  	1.294  	9.203  	7.212  	0.648  	0.092
1  	56.92  	15.874  	9.418  	2.831  	0.807  	1.282  	0.771  	0.034
1  	24.08  	35.241  	6.789  	4.134  	0.684  	0.083  	0.802  	0.288
1  	293.996  	26.252  	22.997  	1.634  	0.752  	0.058  	0.06  	0.329
1  	312.87  	185.453  	12.417  	8.04  	0.846  	0.218  	0.009  	0.325
1  	352.236  	174.452  	72.708  	5.104  	1.682  	0.119  	0.104  	0.217
1  	173.132  	100.516  	77.021  	51.281  	7.409  	0.912  	0.133  	0.228
1  	317.889  	141.058  	50.664  	61.191  	10.082  	0.249  	0.08  	0.009
1  	78.798  	130.76  	46.048  	20.874  	16.208  	3.184  	0.094  	0.265
1  	443.266  	81.784  	84.667  	26.279  	5.411  	2.197  	1.376  	0.896
1  	1591.031  	583.606  	53.079  	54.732  	6.794  	10.248  	0.23  	0.167
1  	1230.426  	751.012  	368.33  	25.414  	12.437  	0.851  	0.09  	0.363
1  	102.451  	510.449  	443.759  	139.316  	7.988  	1.016  	0.386  	0.574
1  	52.883  	123.634  	469.482  	290.036  	65.236  	1.416  	1.121  	0.184
1  	316.077  	28.785  	74.714  	267.945  	154.601  	24.766  	3.115  	0.391
1  	57.444  	143.984  	22.019  	33.624  	191.145  	69.385  	6.114  	0.076
1  	381.173  	32.729  	104.397  	23.257  	50.035  	97.536  	38.692  	2.425
1  	30.615  	187.035  	43.601  	39.44  	14.668  	18.735  	30.744  	10.2
1  	163.385  	34.342  	115.597  	22.406  	41.948  	12.437  	32.396  	33.161
1  	134.9  	105.5  	7.553  	55.338  	9.692  	15.6  	2.527  	23.861
1  	336.307  	86.656  	65.764  	7.771  	15.59  	3.621  	2.564  	11.931
1  	1075.552  	187.224  	49.399  	16.996  	4.038  	2.948  	0.736  	1.91
1  	424.225  	586.985  	99.123  	22.08  	6.057  	2.605  	1.042  	2.827
